input_name,chartmetric_artist_id,chartmetric_name,match_score,search_variant,sp_followers,sp_monthly_listeners,cm_artist_score,image_url,raw_json_path,candidate_json
Ranger Trucco,3755736,Ranger Trucco,1.0,1,17156,116681,72.69994992693276,https://i.scdn.co/image/ab6761610000e5ebaa0c12877bba785af4b0b3b1,chartmetric_artist_search_raw\ranger_trucco__variant_1.json,"{""id"": 3755736, ""name"": ""Ranger Trucco"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5ebaa0c12877bba785af4b0b3b1"", ""isni"": null, ""verified"": false, ""sp_followers"": 17156, ""sp_monthly_listeners"": 116681, ""cm_artist_score"": 72.69994992693276, ""band"": false, ""gender"": null, ""primary_genre_smart"": 501175}"
Ranger Trucco,14969588,Ranger Trucco,1.0,1,6,1,0,,chartmetric_artist_search_raw\ranger_trucco__variant_1.json,"{""id"": 14969588, ""name"": ""Ranger Trucco"", ""image_url"": null, ""isni"": null, ""verified"": true, ""sp_followers"": 6, ""sp_monthly_listeners"": 1, ""cm_artist_score"": 0, ""band"": null, ""gender"": null, ""primary_genre_smart"": null}"
Benja,9862026,Benja,1.0,1,5088,44353,76.81463774229562,https://i.scdn.co/image/ab6761610000e5eb25984192596c1e4b90c7111d,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 9862026, ""name"": ""Benja"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb25984192596c1e4b90c7111d"", ""isni"": null, ""verified"": true, ""sp_followers"": 5088, ""sp_monthly_listeners"": 44353, ""cm_artist_score"": 76.81463774229562, ""band"": false, ""gender"": ""male"", ""primary_genre_smart"": 501541}"
Benja,12004205,Benja (NL),0.7692,1,10951,6126023,86.64171986061726,https://i.scdn.co/image/ab6761610000e5eb5ffd63cce288d7e9d1e2c94c,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 12004205, ""name"": ""Benja (NL)"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb5ffd63cce288d7e9d1e2c94c"", ""isni"": null, ""verified"": false, ""sp_followers"": 10951, ""sp_monthly_listeners"": 6126023, ""cm_artist_score"": 86.64171986061726, ""band"": null, ""gender"": null, ""primary_genre_smart"": 501267}"
Benja,343815,Benjazzy,0.7692,1,32415,264578,74.16635562381248,https://i.scdn.co/image/ab6761610000e5eb54a361eb05c1f45d490d0ef8,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 343815, ""name"": ""Benjazzy"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb54a361eb05c1f45d490d0ef8"", ""isni"": null, ""verified"": false, ""sp_followers"": 32415, ""sp_monthly_listeners"": 264578, ""cm_artist_score"": 74.16635562381248, ""band"": null, ""gender"": ""male"", ""primary_genre_smart"": 503538}"
Benja,488437,Benjamin Hav,0.5882,1,60060,689909,80.8538554926865,https://i.scdn.co/image/ab6761610000e5ebec779bce47abcf1cdd2fbc1a,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 488437, ""name"": ""Benjamin Hav"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5ebec779bce47abcf1cdd2fbc1a"", ""isni"": null, ""verified"": false, ""sp_followers"": 60060, ""sp_monthly_listeners"": 689909, ""cm_artist_score"": 80.8538554926865, ""band"": null, ""gender"": ""male"", ""primary_genre_smart"": 504382}"
Benja,137565,Benjamin Biolay,0.5,1,195745,376959,78.0969757594338,https://i.scdn.co/image/ab6761610000e5eb9abec18edfa18afa33cef946,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 137565, ""name"": ""Benjamin Biolay"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb9abec18edfa18afa33cef946"", ""isni"": ""0000000354733915"", ""verified"": false, ""sp_followers"": 195745, ""sp_monthly_listeners"": 376959, ""cm_artist_score"": 78.0969757594338, ""band"": false, ""gender"": ""male"", ""primary_genre_smart"": 503641}"
Benja,164807,Benjamin Diamond,0.4762,1,27949,7228805,86.55036540602401,https://i.scdn.co/image/ab6761610000e5eb950442f16fbe3727aaebcf20,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 164807, ""name"": ""Benjamin Diamond"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb950442f16fbe3727aaebcf20"", ""isni"": null, ""verified"": false, ""sp_followers"": 27949, ""sp_monthly_listeners"": 7228805, ""cm_artist_score"": 86.55036540602401, ""band"": false, ""gender"": ""male"", ""primary_genre_smart"": 501124}"
Benja,207621,Benjamin Britten,0.4762,1,55475,247871,84.03799058541637,https://i.scdn.co/image/40eb3ffb36cd0c98ca76630260d09b0025be373d,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 207621, ""name"": ""Benjamin Britten"", ""image_url"": ""https://i.scdn.co/image/40eb3ffb36cd0c98ca76630260d09b0025be373d"", ""isni"": ""0000000121181099"", ""verified"": false, ""sp_followers"": 55475, ""sp_monthly_listeners"": 247871, ""cm_artist_score"": 84.03799058541637, ""band"": false, ""gender"": ""male"", ""primary_genre_smart"": 501140}"
Benja,477277,Benjamin Ingrosso,0.4545,1,315015,2551701,81.33847310886864,https://i.scdn.co/image/ab6761610000e5eb414a4cca954d0a14740e3cc9,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 477277, ""name"": ""Benjamin Ingrosso"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb414a4cca954d0a14740e3cc9"", ""isni"": null, ""verified"": false, ""sp_followers"": 315015, ""sp_monthly_listeners"": 2551701, ""cm_artist_score"": 81.33847310886864, ""band"": false, ""gender"": ""male"", ""primary_genre_smart"": 501806}"
