input_name,chartmetric_artist_id,chartmetric_name,match_score,search_variant,sp_followers,sp_monthly_listeners,cm_artist_score,image_url,raw_json_path,candidate_json
Ranger Trucco,3755736,Ranger Trucco,1.0,1,17156,116681,72.69994992693276,https://i.scdn.co/image/ab6761610000e5ebaa0c12877bba785af4b0b3b1,chartmetric_artist_search_raw\ranger_trucco__variant_1.json,"{""id"": 3755736, ""name"": ""Ranger Trucco"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5ebaa0c12877bba785af4b0b3b1"", ""isni"": null, ""verified"": false, ""sp_followers"": 17156, ""sp_monthly_listeners"": 116681, ""cm_artist_score"": 72.69994992693276, ""band"": false, ""gender"": null, ""primary_genre_smart"": 501175}"
Benja,9862026,Benja,1.0,1,5088,44353,76.81463774229562,https://i.scdn.co/image/ab6761610000e5eb25984192596c1e4b90c7111d,chartmetric_artist_search_raw\benja__variant_1.json,"{""id"": 9862026, ""name"": ""Benja"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb25984192596c1e4b90c7111d"", ""isni"": null, ""verified"": true, ""sp_followers"": 5088, ""sp_monthly_listeners"": 44353, ""cm_artist_score"": 76.81463774229562, ""band"": false, ""gender"": ""male"", ""primary_genre_smart"": 501541}"
Kai king,1366424,Kai King,1.0,1,1806,230,4.368718757180135,https://i.scdn.co/image/ab6761610000e5eb82663d1e5f97aab7e5c0d64d,chartmetric_artist_search_raw\kai_king__variant_1.json,"{""id"": 1366424, ""name"": ""Kai King"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb82663d1e5f97aab7e5c0d64d"", ""isni"": null, ""verified"": true, ""sp_followers"": 1806, ""sp_monthly_listeners"": 230, ""cm_artist_score"": 4.368718757180135, ""band"": false, ""gender"": null, ""primary_genre_smart"": 503565}"
Joëlla Jackson,11562227,Joëlla Jackson,1.0,1,750,49016,40.2510081444394,https://i.scdn.co/image/ab6761610000e5ebd6642519e92924935d50e6aa,chartmetric_artist_search_raw\jo_lla_jackson__variant_1.json,"{""id"": 11562227, ""name"": ""Joëlla Jackson"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5ebd6642519e92924935d50e6aa"", ""isni"": null, ""verified"": true, ""sp_followers"": 750, ""sp_monthly_listeners"": 49016, ""cm_artist_score"": 40.2510081444394, ""band"": null, ""gender"": ""female"", ""primary_genre_smart"": 501815}"
22 Interns,11805352,22 Interns,1.0,1,1485,21950,38.78962164614903,https://i.scdn.co/image/ab6761610000e5eb63306233e814fc2152aa782f,chartmetric_artist_search_raw\22_interns__variant_1.json,"{""id"": 11805352, ""name"": ""22 Interns"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb63306233e814fc2152aa782f"", ""isni"": null, ""verified"": true, ""sp_followers"": 1485, ""sp_monthly_listeners"": 21950, ""cm_artist_score"": 38.78962164614903, ""band"": null, ""gender"": null, ""primary_genre_smart"": 501146}"
8Kays,481237,8Kays,1.0,1,35129,181892,62.88211557288905,https://i.scdn.co/image/ab6761610000e5eb337624f12e7db6ee7a88b858,chartmetric_artist_search_raw\8kays__variant_1.json,"{""id"": 481237, ""name"": ""8Kays"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb337624f12e7db6ee7a88b858"", ""isni"": null, ""verified"": false, ""sp_followers"": 35129, ""sp_monthly_listeners"": 181892, ""cm_artist_score"": 62.88211557288905, ""band"": false, ""gender"": ""female"", ""primary_genre_smart"": 501815}"
A Strange Wedding,1495110,A Strange Wedding,1.0,1,2849,2041,17.03273429523442,https://i.scdn.co/image/ab6761610000e5eb0797ea9b406f01fa92e3bc86,chartmetric_artist_search_raw\a_strange_wedding__variant_1.json,"{""id"": 1495110, ""name"": ""A Strange Wedding"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb0797ea9b406f01fa92e3bc86"", ""isni"": null, ""verified"": true, ""sp_followers"": 2849, ""sp_monthly_listeners"": 2041, ""cm_artist_score"": 17.03273429523442, ""band"": null, ""gender"": null, ""primary_genre_smart"": 501146}"
Aadja,1453245,AADJA,1.0,1,8400,23391,33.11637472948304,https://i.scdn.co/image/ab6761610000e5ebc2ff4c7f2723eac700ce95ca,chartmetric_artist_search_raw\aadja__variant_1.json,"{""id"": 1453245, ""name"": ""AADJA"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5ebc2ff4c7f2723eac700ce95ca"", ""isni"": null, ""verified"": true, ""sp_followers"": 8400, ""sp_monthly_listeners"": 23391, ""cm_artist_score"": 33.11637472948304, ""band"": null, ""gender"": ""female"", ""primary_genre_smart"": 501261}"
Aaron J,1639291,Aaron J,1.0,1,4652,11129,27.64422867521693,https://i.scdn.co/image/ab6761610000e5eb73d6268e08ea3d30d8ce9bae,chartmetric_artist_search_raw\aaron_j__variant_1.json,"{""id"": 1639291, ""name"": ""Aaron J"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb73d6268e08ea3d30d8ce9bae"", ""isni"": null, ""verified"": true, ""sp_followers"": 4652, ""sp_monthly_listeners"": 11129, ""cm_artist_score"": 27.64422867521693, ""band"": false, ""gender"": null, ""primary_genre_smart"": 505498}"
Abstract Division,522172,Abstract Division,1.0,1,7270,4044,32.82866761892642,https://i.scdn.co/image/ab6761610000e5eb617d110d15e9634d1f0e305c,chartmetric_artist_search_raw\abstract_division__variant_1.json,"{""id"": 522172, ""name"": ""Abstract Division"", ""image_url"": ""https://i.scdn.co/image/ab6761610000e5eb617d110d15e9634d1f0e305c"", ""isni"": null, ""verified"": false, ""sp_followers"": 7270, ""sp_monthly_listeners"": 4044, ""cm_artist_score"": 32.82866761892642, ""band"": false, ""gender"": null, ""primary_genre_smart"": 501261}"
