artist_id,artist_name
artist_00001,Ranger Trucco
artist_00002,Benja
artist_00003,Kai king
artist_00004,Joëlla Jackson
artist_00005,22 Interns
artist_00006,22:00-00:00 Benja & franc fala
artist_00007,8Kays
artist_00008,A Strange Wedding
artist_00014,Aadja
artist_00015,Aaron J
artist_00016,Abstract Division
artist_00761,ace of demons
artist_00762,acidheaven
artist_00017,Across Boundaries
artist_00018,Adam Beyer
artist_00019,Adam Pits
artist_00009,ADIEL
artist_00020,Adriana Lopez
artist_00021,Ae:ther
artist_00022,Agents of Time
artist_00023,Agonis
artist_00010,AIDA
artist_00024,Alarico
artist_00011,ALCATRAZ
artist_00025,Alci
artist_00026,Aldonna
artist_00027,Aletha
artist_00028,Alex Kassian
artist_00029,Alexandria
artist_00030,Alexia Glensy
artist_00031,Altinbas
artist_00032,Amaliah
artist_00033,Amanda Mussi
artist_00034,Among trees
artist_00012,AMORAL
artist_00035,Amotik
artist_00036,Andrea Oliva
artist_00037,Andy Garvey
artist_00038,Andy Martin
artist_00039,Anetha
artist_00763,angelboy
artist_00040,Anil Aras
artist_00013,ANNĒ
artist_00041,Antal
artist_00042,Anthony Linell
artist_00043,Anthony Parasole
artist_00044,Antonio Ruscito & Luigi Tozzi
artist_00045,Anz
artist_00046,Arthur Rober
artist_00047,Arthur Robert
artist_00048,Atmos Blaq
artist_00049,Audrey Danza
artist_00050,Aurora Halal
artist_00051,Automatic Writing
artist_00052,Ays
artist_00059,Bae Blade
artist_00060,Bakio
artist_00061,Bambounou
artist_00062,Baraka
artist_00063,Barbara Boeing
artist_00064,Barker
artist_00065,Baron Von Trax
artist_00066,Bart Skils
artist_00067,Bas Dobbelaer
artist_00068,Bashkka
artist_00069,Bass-D
artist_00070,Bauernfeind
artist_00071,Beatrice
artist_00072,Beatrice M.
artist_00073,Beau Didier
artist_00074,Bebe Bad
artist_00053,BELLA
artist_00075,Bella Claxton
artist_00076,Ben Klock
artist_00077,Ben Sims
artist_00078,Ben UFO
artist_00079,Benjamin Berg
artist_00080,Benji
artist_00081,Benny Rodrigues
artist_00082,Benny2
artist_00083,Benwal
artist_00084,Berkan V8
artist_00085,Beste Hira
artist_00086,Beswerda
artist_00054,BIANKA
artist_00087,Bibi Seck
artist_00088,Bibtiana
artist_00055,BIIANCO
artist_00089,Bitter Babe
artist_00056,BLANKA
artist_00090,Blasha & Allatt
artist_00057,BLOND:ISH
artist_00091,Bontan
artist_00092,Boris Acket
artist_00093,Boris Coelman
artist_00094,Boris Werner
artist_00095,Boys Noize
artist_00096,Bradley Zero
artist_00097,Brandfee
artist_00098,Brass Rave Unit
artist_00099,Brina Knauss
artist_00058,BSS
artist_00100,Budino
artist_00101,Bushbaby
artist_00102,Byron Yeates
artist_00103,CAIVA
artist_00765,cap
artist_00104,CARISTA
artist_00112,Carlita
artist_00113,Carlos Valdes
artist_00114,Carmen Electro
artist_00115,Carmen Lisa
artist_00116,Casper Tielrooij
artist_00117,Cassian
artist_00105,CCL
artist_00118,Celeste
artist_00119,Chami
artist_00120,Chaos in The CBD
artist_00121,Charlotte de Witte
artist_00122,Charmaine
artist_00106,CHEWCHEW
artist_00123,Chloé Robinson
artist_00124,Chlär
artist_00125,Chontane
artist_00126,Chris Stussy
artist_00127,Chrissie
artist_00128,Christian AB
artist_00129,Cincity
artist_00130,Cinema Royale
artist_00131,Cinnaman
artist_00132,Clara Cuvé
artist_00133,Clarisa Kimskii
artist_00134,Claudio PRC
artist_00135,Club 23:00 - 1:00 TITIA 1:00 - 3:00 Paramida 3:00 - 5:00 tINI & Saoirse Colorfloor 0:00 - 2:00 Paulete Lindacelva 2:00 - 4:00 Josh Caffe
artist_00137,Club: 23:00 - 1:00 Karina Schneider 1:00 - 3:00 Blasha & Allatt 3:00 - 5:00 Fadi Mohem & Ogazón Colorfloor 0:00 - 2:00 Andy 2:00 - 4:00 Faustin
artist_00138,Club: 23:30 - 1:00 Victor 1:00 - 3:00 Sedef Adasi & Roi Perez 3:00 - 5:00 Eris Drew Colorfloor: 0:00 - 2:00 Vuur 2:00 - 4:00 Carlos Valdes (techno)
artist_00139,Coast 2 Coast
artist_00140,Cobahn
artist_00141,Coco Maria
artist_00142,Colin Benders
artist_00143,Collabs 3000
artist_00144,Collé
artist_00145,Colyn
artist_00146,Combined Type
artist_00147,Comrade Winston
artist_00148,Cormac
artist_00149,Costanza
artist_00150,Courtesy
